# LAMMPS data file written by OVITO Basic 3.9.4

62 atoms
1 atom types

0.0 9.7780632538 xlo xhi
0.0 8.5055227422 ylo yhi
0.0 49.7307626741 zlo zhi
4.825779155 0.2956023058 0.1773116171 xy xz yz

Masses

1 12.0107  # C

Atoms  # charge

1 1 0.0 14.6422820472 8.5300638682 19.1594354523
2 1 0.0 1.254437816 0.7332505754 19.1951189327
3 1 0.0 1.4381036316 0.8397452562 22.5804637846
4 1 0.0 2.6672728583 1.5555610238 22.5901448964
5 1 0.0 11.019094134 2.1482755863 19.2183455784
6 1 0.0 2.469673719 2.8603168266 19.2289724419
7 1 0.0 2.6555450313 2.9695907261 22.5641186747
8 1 0.0 3.9020196678 3.6829579078 22.4455450784
9 1 0.0 12.2238678033 4.2743378746 19.2213944313
10 1 0.0 3.6769694927 4.9827756462 19.3126387112
11 1 0.0 3.8465467013 5.1111902471 22.4075655673
12 1 0.0 5.0422936162 5.8309265075 22.2412408896
13 1 0.0 13.4227121273 6.4023783212 19.2533274202
14 1 0.0 4.8668219823 7.1126965798 19.2561093892
15 1 0.0 5.0491065515 7.2186151078 22.5168064248
16 1 0.0 6.2695919386 7.9316837476 22.5200370939
17 1 0.0 7.3044748551 8.5286915955 19.2173961798
18 1 0.0 3.7041712264 0.7402994495 19.2285645224
19 1 0.0 3.8911688516 0.8468268627 22.5649519275
20 1 0.0 5.1265480778 1.5785278838 22.4469299321
21 1 0.0 3.7074268964 2.1614639233 19.2989932385
22 1 0.0 4.9237578174 2.8696871234 19.5725023149
23 1 0.0 5.105066392 2.9742141173 22.3959951271
24 1 0.0 4.8887251629 4.2949286493 19.6437904207
25 1 0.0 5.9942652059 5.103197361 20.1323559289
26 1 0.0 6.2407880974 5.2488291218 21.6379432569
27 1 0.0 7.4885380502 5.8101810266 22.1281684329
28 1 0.0 6.0774652232 6.4337623609 19.5299375758
29 1 0.0 7.2927630478 7.1194987099 19.3641096842
30 1 0.0 7.4883456621 7.2029416432 22.4607814658
31 1 0.0 8.7119203713 7.923621625 22.553095522
32 1 0.0 9.7479231422 8.5266863861 19.2207716976
33 1 0.0 6.1457338739 0.7418552388 19.3130210184
34 1 0.0 6.3413001131 0.8253071826 22.4097485664
35 1 0.0 7.5566114617 1.511027742 22.2438561213
36 1 0.0 6.1455328618 2.1346178819 19.6456010874
37 1 0.0 7.3932786381 2.6959721276 20.1358243845
38 1 0.0 7.6398143488 2.8415900025 21.6414087463
39 1 0.0 8.7453550932 3.6498629329 22.1299774294
40 1 0.0 8.5289973158 4.9705737999 19.3778304998
41 1 0.0 8.7103147494 5.075112971 22.2012910106
42 1 0.0 9.9266407462 5.7833243088 22.4748782786
43 1 0.0 8.5075229154 6.3662680712 19.3269284567
44 1 0.0 9.7429078992 7.0979676527 19.2089334372
45 1 0.0 9.9298904964 7.2045045293 22.5453400475
46 1 0.0 11.15538275 7.9216204512 22.5565276494
47 1 0.0 12.190244028 8.5186342897 19.253759968
48 1 0.0 8.5849725821 0.7261801444 19.2569865074
49 1 0.0 8.7672503764 0.8321062873 22.5176858942
50 1 0.0 9.9894134369 1.5424160943 22.5204710814
51 1 0.0 8.5917684918 2.1138739196 19.5325513582
52 1 0.0 9.7875284115 2.8335982197 19.3662968768
53 1 0.0 9.9571050979 2.9620200683 22.4611673842
54 1 0.0 11.1882546353 3.6704624216 22.5524833422
55 1 0.0 9.7320399871 4.2618489525 19.32832098
56 1 0.0 10.9785306858 4.9751958237 19.2097760916
57 1 0.0 11.1643921369 5.0844751383 22.5449395216
58 1 0.0 12.3930378127 5.7965249182 22.5555835396
59 1 0.0 10.9667833181 6.3892412112 19.1837364236
60 1 0.0 12.1959837215 7.1050501271 19.193371019
61 1 0.0 12.3796247886 7.2115498672 22.5788025245
62 1 0.0 13.5956308222 7.9202535349 22.6144087929
